League,Name,DateStart,DateStart__precision
2016 International Wildcard Qualifier,IWCQ 2016,24/08/2016,1
Circuit Brazilian League of Legends,CBLOL 2023 Split 1,21/01/2023,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 2 Playoffs,12/08/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 2,11/06/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 1 Playoffs,25/03/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 1,22/01/2022,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 2 Playoffs,07/08/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 2,05/06/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 1 Playoffs,27/03/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 1,16/01/2021,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2 Playoffs,22/08/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2,06/06/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2 Promotion,19/05/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1 Playoffs,02/05/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1,25/01/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1 Promotion,21/09/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2 Playoffs,24/08/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2,01/06/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2 Promotion,27/04/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1 Playoffs,06/04/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1,12/01/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1 Promotion,14/09/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2 Playoffs,11/08/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2,09/06/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2 Promotion,14/04/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1 Playoffs,17/03/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1,20/01/2018,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2 Playoffs,19/08/2017,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1 Promotion,05/08/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2,03/06/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1 Playoffs,25/03/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2 Promotion,18/03/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1,21/01/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1 Promotion,22/07/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2 Playoffs,24/06/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2,19/05/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2 Promotion,09/04/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1 Playoffs,12/03/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1,16/01/2016,1
Circuit Brazilian League of Legends,CBLOL All-Star 2015,22/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Post-Season,12/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1 Promotion,04/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2 Playoffs,11/07/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2,23/05/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2 Promotion,01/05/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1 Playoffs,21/03/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1,17/01/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1 Qualifiers,15/11/2014,1
Circuit Brazilian League of Legends,CBLOL 2014 Champions Series Playoffs,07/06/2014,1
Circuit Brazilian League of Legends,Brazilian Champions Series 2014,26/04/2014,1
Copa Latinoamérica Sur,CLS 2018 Closing Playoffs,30/08/2018,1
Copa Latinoamérica Sur,CLS 2018 Closing,16/06/2018,1
Copa Latinoamérica Sur,CLS 2018 Closing Promotion,26/04/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening Playoffs,29/03/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening,20/01/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening Promotion,03/08/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing Playoffs,27/07/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing,01/06/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing Promotion,30/03/2017,1
Copa Latinoamérica Sur,CLS 2017 Opening Playoffs,23/03/2017,1
Copa Latinoamérica Sur,CLS 2017 Opening,19/01/2017,1
Copa Latinoamérica Sur,CLS 2017 Preseason,02/11/2016,1
Copa Latinoamérica Sur,CLS 2017 Opening Promotion,06/08/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup Playoffs,20/07/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup,25/05/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup Promotion,25/03/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup Playoffs,10/03/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup,04/02/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup Promotion,28/07/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup Playoffs,07/07/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup,02/06/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup Promotion,13/04/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup Playoffs,23/03/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup,09/02/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup Promotion,22/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 4,18/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 3,17/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 2,11/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 1,10/01/2015,1
DreamHack,DreamHack Winter 2021,26/11/2021,1
DreamHack,DreamHack Valencia 2020,17/10/2020,1
DreamHack,DreamHack Winter 2019,29/11/2019,1
DreamHack,DreamHack Atlanta 2019,16/11/2019,1
DreamHack,DreamHack Rotterdam 2019,18/10/2019,1
DreamHack,DreamHack Montreal 2019,07/09/2019,1
DreamHack,DreamHack Summer 2019,16/06/2019,1
DreamHack,DreamHack Dallas 2019,01/06/2019,1
DreamHack,DreamHack Tours 2019,17/05/2019,1
DreamHack,DreamHack Rio 2019 Showmatch,19/04/2019,1
DreamHack,DreamHack Winter 2018 Female,30/11/2018,1
DreamHack,Dreamhack Montreal 2018,08/09/2018,1
DreamHack,DreamHack Summer 2018 Female,17/06/2018,1
DreamHack,DreamHack Summer 2018,16/06/2018,1
DreamHack,DreamHack Tours 2018,19/05/2018,1
DreamHack,DreamHack Tours 2018 - Qualifier,05/05/2018,1
DreamHack,DreamHack Leipzig 2018,26/01/2018,1
DreamHack,Dreamhack Montreal 2017,09/09/2017,1
DreamHack,DreamHack Valencia 2017,13/07/2017,1
DreamHack,DreamHack Lenovo Cup 2017,18/06/2017,1
DreamHack,DreamHack Summer 2017,18/06/2017,1
DreamHack,DreamHack Tours 2017,06/05/2017,1
DreamHack,DreamHack Valencia 2016,14/07/2016,1
DreamHack,DreamHack Tours 2016,14/05/2016,1
DreamHack,DreamHack 2015 Winter,26/11/2015,1
DreamHack,DreamHack Cluj Napoca 2015,31/10/2015,1
DreamHack,DreamHack Valencia 2015,17/07/2015,1
DreamHack,DreamHack Summer 2015,30/05/2015,1
DreamHack,DreamHack Tours 2015,08/05/2015,1
DreamHack,DreamHack Bucharest 2015,24/04/2015,1
DreamHack,DreamHack Winter 2014,27/11/2014,1
DreamHack,DreamHack Bucharest 2014,31/10/2014,1
DreamHack,DreamHack Valencia 2014,18/07/2014,1
DreamHack,DreamHack Summer 2014,14/06/2014,1
DreamHack,DreamHack Winter 2013,28/11/2013,1
DreamHack,DreamHack Winter 2013 Qualifiers,13/11/2013,1
DreamHack,DreamHack Bucharest 2013,14/09/2013,1
DreamHack,DreamHack Bucharest 2013 Qualifiers,22/08/2013,1
DreamHack,DreamHack Valencia 2013,18/07/2013,1
DreamHack,DreamHack Valencia 2013 Qualifiers,01/07/2013,1
DreamHack,DreamHack Summer 2013,15/06/2013,1
DreamHack,DreamHack Summer 2013 Qualifiers,29/05/2013,1
DreamHack,DreamHack Winter 2012,22/11/2012,1
DreamHack,DreamHack Winter 2012 Qualifiers,22/11/2012,1
DreamHack,DreamHack Bucharest 2012,20/10/2012,1
DreamHack,DreamHack Valencia 2012,21/09/2012,1
DreamHack,DreamHack Valencia 2012 Qualifiers,01/09/2012,1
DreamHack,DreamHack Summer 2012,16/06/2012,1
DreamHack,DreamHack Summer 2012 Qualifiers,22/05/2012,1
Europe League Championship Series,EU LCS 2018 Summer Playoffs,24/08/2018,1
Europe League Championship Series,EU LCS 2018 Summer,15/06/2018,1
Europe League Championship Series,EU LCS 2018 Spring Playoffs,23/03/2018,1
Europe League Championship Series,EU LCS 2018 Spring,19/01/2018,1
Europe League Championship Series,EU LCS 2017 Summer Playoffs,19/08/2017,1
Europe League Championship Series,EU LCS 2018 Spring Promotion,17/08/2017,1
Europe League Championship Series,EU LCS 2017 Summer,01/06/2017,1
Europe League Championship Series,EU LCS 2017 Spring Playoffs,08/04/2017,1
Europe League Championship Series,EU LCS 2017 Summer Promotion,06/04/2017,1
Europe League Championship Series,EU LCS 2017 Spring,19/01/2017,1
Europe League Championship Series,EU LCS 2016 Summer Playoffs,13/08/2016,1
Europe League Championship Series,EU LCS 2017 Spring Promotion,04/08/2016,1
Europe League Championship Series,EU LCS 2016 Summer,02/06/2016,1
Europe League Championship Series,EU LCS 2016 Spring Playoffs,02/04/2016,1
Europe League Championship Series,EU LCS 2016 Summer Promotion,24/03/2016,1
Europe League Championship Series,EU LCS 2016 Spring,14/01/2016,1
Europe League Championship Series,EU LCS 2016 Spring Promotion,05/09/2015,1
Europe League Championship Series,EU LCS 2015 Summer Playoffs,08/08/2015,1
Europe League Championship Series,EU LCS 2015 Summer,28/05/2015,1
Europe League Championship Series,EU LCS 2015 Summer Promotion,25/04/2015,1
Europe League Championship Series,EU LCS 2015 Spring Playoffs,04/04/2015,1
Europe League Championship Series,EU LCS 2015 Spring,22/01/2015,1
Europe League Championship Series,EU LCS 2015 Spring Expansion,20/11/2014,1
Europe League Championship Series,EU LCS 2015 Spring Promotion,09/09/2014,1
Europe League Championship Series,EU LCS 2014 Summer Playoffs,07/08/2014,1
Europe League Championship Series,EU LCS 2014 Summer,20/05/2014,1
Europe League Championship Series,EU LCS 2014 Summer Promotion,24/04/2014,1
Europe League Championship Series,EU LCS 2014 Spring Playoffs,15/04/2014,1
Europe League Championship Series,EU LCS 2014 Spring,14/01/2014,1
Europe League Championship Series,EU LCS 2014 Spring Promotion,05/12/2013,1
Europe League Championship Series,EU LCS 2014 Spring Prequalifier 2,16/11/2013,1
Europe League Championship Series,EU LCS 2014 Spring Prequalifier 1,19/10/2013,1
Europe League Championship Series,EU LCS 2013 Summer Playoffs,23/08/2013,1
Europe League Championship Series,EU LCS 2014 Spring Prequalifier Gamescom,21/08/2013,1
Europe League Championship Series,EU LCS 2014 Tenerife Qualifiers,18/07/2013,1
Europe League Championship Series,EU LCS 2014 Tenerife Online Qualifiers,04/07/2013,1
Europe League Championship Series,EU LCS 2013 Summer,15/06/2013,1
Europe League Championship Series,EU LCS 2013 Summer Promotion,03/05/2013,1
Europe League Championship Series,EU LCS 2013 Spring Playoffs,26/04/2013,1
Europe League Championship Series,EU LCS 2013 Summer Ranked 5s Qualifiers,12/04/2013,1
Europe League Championship Series,EU LCS 2013 Summer Go4LoL Qualifiers,31/03/2013,1
Europe League Championship Series,EU LCS 2013 Lille Qualifier,23/03/2013,1
Europe League Championship Series,EU LCS 2013 Lille Online Qualifier,13/03/2013,1
Europe League Championship Series,EU LCS 2013 Spring,09/02/2013,1
Europe League Championship Series,EU LCS 2013 Spring Offline Qualifiers,25/01/2013,1
Europe League Championship Series,EU LCS 2013 Spring Ranked 5s Qualifiers,04/01/2013,1
Europe League Championship Series,EU LCS 2013 Spring ESL Qualifier,10/12/2012,1
Garena Premier League,GPL 2018 Spring,28/03/2018,1
Garena Premier League,GPL 2017 Summer,21/08/2017,1
Garena Premier League,GPL 2017 Spring,12/04/2017,1
Garena Premier League,GPL 2016 Summer,08/08/2016,1
Garena Premier League,GPL 2016 Spring,06/04/2016,1
Garena Premier League,GPL 2015 Summer Playoffs,08/08/2015,1
Garena Premier League,GPL 2015 Summer,24/06/2015,1
Garena Premier League,GPL 2015 Spring Playoffs,11/04/2015,1
Garena Premier League,GPL 2015 Spring,10/12/2014,1
Garena Premier League,GPL 2015 Spring Vietnamese Qualifier,25/10/2014,1
Garena Premier League,GPL 2014 Summer,11/06/2014,1
Garena Premier League,GPL 2014 Summer Vietnamese Qualifier,26/04/2014,1
Garena Premier League,GPL 2014 Summer Taiwan &amp; Hong Kong &amp; Macau Promotion,09/04/2014,1
Garena Premier League,GPL 2014 Spring,12/02/2014,1
Garena Premier League,GPL 2014 Spring Philippine Qualifier,11/01/2014,1
Garena Premier League,GPL 2014 Spring Vietnamese Qualifier,23/12/2013,1
Garena Premier League,GPL 2014 Winter,30/10/2013,1
Garena Premier League,GPL 2014 Winter Thai Qualifier,12/10/2013,1
Garena Premier League,GPL 2013 Championship,29/08/2013,1
Garena Premier League,GPL 2013 Summer,10/05/2013,1
Garena Premier League,GPL 2013 Spring,04/01/2013,1
Garena Premier League,GPL 2012 Season 1 Playoffs,17/11/2012,1
Garena Premier League,GPL 2012 Season 1,18/05/2012,1
Garena Premier League,GPL 2012 Opening Event,05/05/2012,1
International Wildcard Invitational,IWCI 2016,16/04/2016,1
International Wildcard Invitational,IWCI 2015,21/04/2015,1
League of Legends Championship Series,LCS 2023 Spring Playoffs,23/03/2023,1
League of Legends Championship Series,LCS 2023 Spring,26/01/2023,1
League of Legends Championship Series,LCS 2022 Championship,20/08/2022,1
League of Legends Championship Series,LCS 2022 Summer,17/06/2022,1
League of Legends Championship Series,LCS 2022 Spring Playoffs,02/04/2022,1
League of Legends Championship Series,LCS 2022 Spring,05/02/2022,1
League of Legends Championship Series,LCS 2022 Lock In,14/01/2022,1
League of Legends Championship Series,LCS 2021 Championship,07/08/2021,1
League of Legends Championship Series,LCS 2021 Summer,04/06/2021,1
League of Legends Championship Series,LCS 2021 Mid-Season Showdown,20/03/2021,1
League of Legends Championship Series,LCS 2021 Spring,05/02/2021,1
League of Legends Championship Series,LCS 2021 Lock In,15/01/2021,1
League of Legends Championship Series,LCS 2020 Summer Playoffs,13/08/2020,1
League of Legends Championship Series,LCS 2020 Summer Classic Showmatch,10/07/2020,1
League of Legends Championship Series,LCS 2020 Summer,12/06/2020,1
League of Legends Championship Series,LCS 2020 Spring Playoffs,04/04/2020,1
League of Legends Championship Series,LCS 2020 Spring,25/01/2020,1
League of Legends Championship Series,LCS 2019 Summer Playoffs,10/08/2019,1
League of Legends Championship Series,LCS 2019 Summer,01/06/2019,1
League of Legends Championship Series,LCS 2019 Spring Playoffs,30/03/2019,1
League of Legends Championship Series,LCS 2019 Spring,26/01/2019,1
League of Legends SEA Tour,LST 2019 Summer Playoffs,07/09/2019,1
League of Legends SEA Tour,LST 2019 Summer,20/07/2019,1
League of Legends SEA Tour,LST 2019 Summer ID-MY-SG National Qualifier,06/07/2019,1
League of Legends SEA Tour,LST 2019 Summer Philippines National Qualifier,30/06/2019,1
League of Legends SEA Tour,LST 2019 Summer Thailand National Qualifier,29/06/2019,1
League of Legends SEA Tour,LST 2019 Spring,20/04/2019,1
League of Legends SEA Tour,LST 2019 Spring MY &amp; SG National Minor,14/04/2019,1
League of Legends SEA Tour,LST 2019 Spring Philippines National Minor,13/04/2019,1
League of Legends SEA Tour,LST 2019 Spring Thailand National Minor,07/04/2019,1
League of Legends SEA Tour,LST 2019 Spring Indonesia National Minor,31/03/2019,1
League of Legends SEA Tour,LST 2019 Spring Thailand National Qualifier,29/03/2019,1
League of Legends SEA Tour,LST 2019 Spring MY &amp; SG National Qualifier,27/03/2019,1
League of Legends SEA Tour,LST 2019 Spring Indonesia National Qualifier,15/03/2019,1
League of Legends SEA Tour,LST 2019 Spring Philippines National Qualifier,13/03/2019,1
Liga Latinoamerica,LLA 2023 Opening Playoffs,14/03/2023,1
Liga Latinoamerica,LLA 2023 Opening,24/01/2023,1
Liga Latinoamerica,LLA 2023 Opening Promotion,10/09/2022,1
Liga Latinoamerica,LLA 2022 Closing Playoffs,05/08/2022,1
Liga Latinoamerica,LLA 2022 Closing,11/06/2022,1
Liga Latinoamerica,LLA 2022 Opening Playoffs,18/03/2022,1
Liga Latinoamerica,LLA 2022 Opening,29/01/2022,1
Liga Latinoamerica,LLA 2022 Opening Promotion,01/09/2021,1
Liga Latinoamerica,LLA 2021 Closing Playoffs,14/08/2021,1
Liga Latinoamerica,LLA 2021 Closing,19/06/2021,1
Liga Latinoamerica,LLA 2021 Opening Playoffs,27/03/2021,1
Liga Latinoamerica,LLA 2021 Opening,30/01/2021,1
Liga Latinoamerica,LLA 2020 Closing Playoffs,15/08/2020,1
Liga Latinoamerica,LLA 2020 Closing,20/06/2020,1
Liga Latinoamerica,LLA 2020 Opening Playoffs,25/04/2020,1
Liga Latinoamerica,LLA 2020 Opening,15/02/2020,1
Liga Latinoamerica,LLA 2020 Opening Promotion,28/09/2019,1
Liga Latinoamerica,LLA 2019 Closing Playoffs,10/08/2019,1
Liga Latinoamerica,LLA 2019 Closing,08/06/2019,1
